det_fecha_hora,epi,mag,int_max,emis_fecha_hora,href,det_fecha_hora_local,lat_0,lon_0,prof_epi,id,prof_epi_nro,lat,lon
2023-06-05 18:05:00,Alta mar de Prefectura de Miyagi,3.9,1,2023-06-05 18:08:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230606060819&lang=es,2023-06-06 06:05:00,38.9N,141.9E,50km,20230606060819,50.0,38.9,141.9
2023-06-05 17:46:00,Alta mar de Prefectura de Ibaraki,3.6,2,2023-06-05 17:49:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230606054935&lang=es,2023-06-06 05:46:00,35.9N,141.0E,30km,20230606054935,30.0,35.9,141.0
2023-06-05 16:52:00,Mares cercanos de Islas Tokara,2.7,1,2023-06-05 16:54:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230606045437&lang=es,2023-06-06 04:52:00,30.0N,130.0E,20km,20230606045437,20.0,30.0,130.0
2023-06-05 09:46:00,Alta mar de Prefectura de Ibaraki,3.6,1,2023-06-05 09:48:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230605214821&lang=es,2023-06-05 21:46:00,36.5N,141.2E,40km,20230605214821,40.0,36.5,141.2
2023-06-05 01:01:00,Alta mar de Península de Noto,3.3,1,2023-06-05 01:03:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230605130358&lang=es,2023-06-05 13:01:00,37.6N,137.3E,10km,20230605130358,10.0,37.6,137.3
2023-06-04 23:35:00,Alta mar de Prefectura de Miyagi,4.5,2,2023-06-04 23:38:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230605113821&lang=es,2023-06-05 11:35:00,38.5N,142.1E,40km,20230605113821,40.0,38.5,142.1
2023-06-04 22:28:00,Norte de Prefectura de Hiroshima,2.9,1,2023-06-04 22:31:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230605103135&lang=es,2023-06-05 10:28:00,34.9N,132.8E,10km,20230605103135,10.0,34.9,132.8
2023-06-04 10:59:00,Alta mar de Prefectura de Fukushima,4.4,1,2023-06-04 11:02:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230604230259&lang=es,2023-06-04 22:59:00,37.2N,142.2E,20km,20230604230259,20.0,37.2,142.2
2023-06-04 08:45:00,Mares cercanos de Islas Tokara,2.1,1,2023-06-04 08:48:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230604204839&lang=es,2023-06-04 20:45:00,29.7N,129.8E,10km,20230604204839,10.0,29.7,129.8
2023-06-04 08:35:00,Mares cercanos de Islas Tokara,2.5,1,2023-06-04 08:38:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230604203836&lang=es,2023-06-04 20:35:00,29.7N,129.9E,10km,20230604203836,10.0,29.7,129.9
